position_at,latitude,longitude,address
2020-06-12 17:15:01+00,36.0749088888889,-79.81096,"205 Aberdeen Terrace, Greensboro, NC 27403"
2020-06-12 17:15:12+00,36.0758022222222,-79.8109155555556,"1400 Northfield Street, Greensboro, NC 27403"
2020-06-12 17:15:14+00,36.0758333333333,-79.8110222222222,"1400 Northfield Street, Greensboro, NC 27403"
2020-06-12 17:15:30+00,36.076,-79.8121066666667,"301 Hillcrest Drive, Greensboro, NC 27403"
2020-06-12 17:15:44+00,36.0763622222222,-79.81184,"358 Hillcrest Drive, Greensboro, NC 27403"
2020-06-12 17:16:32+00,36.0763288888889,-79.8116711111111,"348 Hillcrest Drive, Greensboro, NC 27403"
2020-06-12 17:28:17+00,36.0764,-79.8120533333333,"364 Hillcrest Drive, Greensboro, NC 27403"
2020-06-12 17:28:26+00,36.0768155555556,-79.8120888888889,"1500 Fairmont Street, Greensboro, NC 27403"
2020-06-12 17:28:28+00,36.0768577777778,-79.8122044444444,"1500 Fairmont Street, Greensboro, NC 27403"
2020-06-12 17:28:47+00,36.0770688888889,-79.81376,"410 North Aycock Street, Greensboro, NC 27403"
2020-06-12 17:28:49+00,36.0772466666667,-79.8138222222222,"418 North Aycock Street, Greensboro, NC 27403"
2020-06-12 17:28:59+00,36.0787,-79.8136266666667,"413-499 N Aycock St, Greensboro, NC 27403, USA"
2020-06-12 17:29:27+00,36.0796133333333,-79.8132977777778,"North Aycock Street, Greensboro, NC 27408"
2020-06-12 17:30:05+00,36.0797111111111,-79.8132977777778,"Benjamin Parkway, Greensboro, NC 27408"
2020-06-12 17:30:35+00,36.0839777777778,-79.8132177777778,"908-998 Westover Terrace, Greensboro, NC 27408, USA"
2020-06-12 17:31:05+00,36.0882266666667,-79.8134933333333,"1799 West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 17:31:06+00,36.08828,-79.8134311111111,"1799 West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 17:31:08+00,36.0883133333333,-79.8132266666667,"1763 West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 17:31:38+00,36.0882444444444,-79.8065688888889,"1381 West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 17:31:48+00,36.0888711111111,-79.8042755555555,"1233 West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 17:32:08+00,36.0887177777778,-79.8008,"1100-1102 Grayland St, Greensboro, NC 27408, USA"
2020-06-12 17:32:10+00,36.08884,-79.8007911111111,"1100-1102 Grayland St, Greensboro, NC 27408, USA"
2020-06-12 17:33:42+00,36.09058,-79.8007466666667,"1201-1203 Grayland St, Greensboro, NC 27408, USA"
2020-06-12 18:25:46+00,36.0912555555556,-79.80072,"1239 Grayland Street, Greensboro, NC 27408"
2020-06-12 18:26:00+00,36.0925444444444,-79.8005866666667,"1002 Hammel Road, Greensboro, NC 27408"
2020-06-12 18:26:02+00,36.0925511111111,-79.8006933333333,"1002 Hammel Road, Greensboro, NC 27408"
2020-06-12 18:26:04+00,36.0925511111111,-79.80088,"1002 Hammel Road, Greensboro, NC 27408"
2020-06-12 18:26:15+00,36.0924844444444,-79.8017688888889,"1299 Cleburne Street, Greensboro, NC 27408"
2020-06-12 18:26:17+00,36.0923044444444,-79.80176,"1289 Cleburne Street, Greensboro, NC 27408"
2020-06-12 18:26:40+00,36.0904311111111,-79.8019911111111,"1101 West Northwood Street, Greensboro, NC 27408"
2020-06-12 18:26:43+00,36.09042,-79.8021955555556,"1101 West Northwood Street, Greensboro, NC 27408"
2020-06-12 18:27:13+00,36.0906933333333,-79.8057244444445,"1212 West Northwood Street, Greensboro, NC 27408"
2020-06-12 18:28:13+00,36.0910333333333,-79.8120533333333,"1598 West Northwood Street, Greensboro, NC 27408"
2020-06-12 18:28:43+00,36.0916977777778,-79.8134044444444,"1719-1763 US Hwy 220, Greensboro, NC 27408, USA"
